"Community","KSM_rank","Genus","KSM","KSM_bootstrap_CI_low","KSM_bootstrap_CI_high","Bootstrap_top10_frequency","Prevalence","Mean_relative_abundance_percent","Woodhams_inhibitory","ANCOMBC2_BH_q","ANCOMBC2_robust_FDR05","ALDEx2_BH_q","ALDEx2_FDR05","Evidence_class"
"Whole community",12,"1174-901-12",0.623719464144996,0.585453112687155,0.793561859732072,0.255,0.936170212765957,1.69908660473163,FALSE,1.85795968425809e-10,TRUE,0.000818566631124549,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",13,"Unclassified_Bacillaceae",0.623089046493302,0.550027580772262,0.793325453112687,0.165,0.872340425531915,0.491721264814917,TRUE,1.10361800697654e-05,TRUE,0.00169363998286754,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",14,"Unclassified_67-14",0.622773837667455,0.549403073286052,0.768985421591805,0.142,0.851063829787234,0.444705669759426,FALSE,1.61371629462528e-07,TRUE,0.0556566924191396,FALSE,"ANCOM-BC2 only"
"Whole community",15,"Unclassified_Micropepsaceae",0.620724980299448,0.534667060677699,0.759259259259259,0.097,0.553191489361702,0.0915999726826307,FALSE,NA,FALSE,0.0046773249013321,TRUE,"ALDEx2 only"
"Whole community",16,"Staphylococcus",0.611820330969267,0.571613475177305,0.764253349093775,0.09,1,2.35549331481144,TRUE,1.84439661239607e-11,TRUE,0.000677666097448079,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",17,"Pseudonocardia",0.609141055949567,0.565939716312057,0.748626871552403,0.072,0.936170212765957,1.86592431790408,FALSE,4.8661078296323e-09,TRUE,0.019775841013667,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",18,"P3OB-42",0.608747044917258,0.551168242710796,0.753272261623326,0.089,0.702127659574468,0.104744750299171,FALSE,0.000388466715298891,TRUE,0.0228323481240771,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",19,"Unclassified_Caulobacteraceae",0.608510638297872,0.577513790386131,0.755421591804571,0.097,0.787234042553192,0.412528742572328,TRUE,2.9973029037104e-06,TRUE,0.0110421838468396,TRUE,"ANCOM-BC2 + ALDEx2"
"Whole community",20,"Brachybacterium",0.602836879432624,0.542864460204886,0.729095744680851,0.051,0.531914893617021,0.131624696959877,TRUE,NA,FALSE,0.00110557598099116,TRUE,"ALDEx2 only"
"Anti-Bd community",1,"Staphylococcus",0.6725768321513,0.636327817178881,0.8026024428684,1,0.702127659574468,1.16502177896074,TRUE,0.00202505604666735,TRUE,0.00698676237190802,TRUE,"ANCOM-BC2 + ALDEx2"
"Anti-Bd community",2,"Acinetobacter",0.670921985815603,0.59596926713948,0.831373128447596,1,1,2.46459364101025,TRUE,1.26132888790166e-08,TRUE,0.000536377836424157,TRUE,"ANCOM-BC2 + ALDEx2"
"Anti-Bd community",3,"Amnibacterium",0.638219070133964,0.558944050433412,0.782927501970055,0.992,0.723404255319149,0.195339111963447,TRUE,NA,FALSE,0.00166970796019992,TRUE,"ALDEx2 only"
"Anti-Bd community",4,"Brachybacterium",0.602836879432624,0.543402285263987,0.731916863672183,0.983,0.531914893617021,0.131624696959877,TRUE,NA,FALSE,0.00752751661337707,TRUE,"ALDEx2 only"
"Anti-Bd community",5,"Unclassified_Alcaligenaceae",0.600788022064618,0.5475768321513,0.746808510638298,0.98,0.51063829787234,0.785008710681923,TRUE,NA,FALSE,0.000699260023627769,TRUE,"ALDEx2 only"
"Anti-Bd community",6,"Unclassified_Bacillaceae",0.58360914105595,0.485894405043341,0.754694641449961,0.935,0.829787234042553,0.376798849147056,TRUE,0.25702440623077,FALSE,0.009613109363817,TRUE,"ALDEx2 only"
"Anti-Bd community",7,"Brevibacterium",0.524980299448385,0.438057525610717,0.661873522458629,0.735,0.48936170212766,0.15995877372555,TRUE,NA,FALSE,0.0456922358675891,TRUE,"ALDEx2 only"
"Anti-Bd community",8,"Micrococcus",0.508195429472025,0.429024822695036,0.68165878644602,0.698,0.659574468085106,0.283268512884546,TRUE,0.114260351297383,FALSE,0.0424830914320375,TRUE,"ALDEx2 only"
"Anti-Bd community",9,"Pseudomonas",0.455161544523247,0.386361308116627,0.700557525610717,0.586,0.851063829787234,0.603820427403919,TRUE,0.000267092039591147,TRUE,0.101612480845125,FALSE,"ANCOM-BC2 only"
"Anti-Bd community",10,"Stenotrophomonas",0.410323089046493,0.357651694247439,0.6399231678487,0.351,0.702127659574468,0.767145444569014,TRUE,0.00775972722175399,TRUE,0.0871948003206517,FALSE,"ANCOM-BC2 only"
"Anti-Bd community",11,"Novosphingobium",0.410086682427108,0.340717100078802,0.615750591016548,0.242,0.595744680851064,0.140380493714845,TRUE,0.0328744093237259,TRUE,0.171254524937274,FALSE,"ANCOM-BC2 only"
"Anti-Bd community",12,"Luteibacter",0.404649330181245,0.29116036249015,0.621873522458629,0.194,0.425531914893617,0.0985823837948575,TRUE,NA,FALSE,0.0808006732175443,FALSE,"KSM only"
"Anti-Bd community",13,"Bosea",0.39558707643814,0.322994483845548,0.62128841607565,0.262,0.617021276595745,0.0887096212061199,TRUE,0.108707549268884,FALSE,0.0182313661344324,TRUE,"ALDEx2 only"
"Anti-Bd community",14,"Curtobacterium",0.390149724192277,0.343719464144996,0.626977935382191,0.276,0.51063829787234,0.110020707869042,TRUE,0.00559087236833637,TRUE,0.0367432039502852,TRUE,"ANCOM-BC2 + ALDEx2"
"Anti-Bd community",15,"Klebsiella",0.378881008668243,0.28486012608353,0.563518518518519,0.077,0.404255319148936,0.204924591736645,TRUE,NA,FALSE,0.0308776095737026,TRUE,"ALDEx2 only"
"Anti-Bd community",16,"Brevundimonas",0.372655634357762,0.338205279747833,0.613881008668243,0.151,0.74468085106383,0.145752761578584,TRUE,0.270856469919987,FALSE,0.831653172382481,FALSE,"KSM only"
"Anti-Bd community",17,"Streptomyces",0.370764381402679,0.289909377462569,0.576363278171789,0.074,0.382978723404255,0.171447802460172,TRUE,NA,FALSE,0.053959145795795,FALSE,"KSM only"
"Anti-Bd community",18,"Sphingobacterium",0.370449172576832,0.238644602048857,0.550518124507486,0.033,0.297872340425532,0.241105547847009,TRUE,NA,FALSE,0.252059639417666,FALSE,"KSM only"
"Anti-Bd community",19,"Unclassified_Microbacteriaceae",0.36107171000788,0.316302206461781,0.582127659574468,0.125,0.553191489361702,0.0816817510159898,TRUE,NA,FALSE,0.0711813278774206,FALSE,"KSM only"
"Anti-Bd community",20,"Unclassified_Comamonadaceae",0.34468085106383,0.31072695035461,0.571725768321513,0.091,0.48936170212766,0.0876385372388315,TRUE,NA,FALSE,0.471851008831054,FALSE,"KSM only"
